ProjectNumber,SampleNumber,ContinentalRiverBasinCode,RiverBasinCode,RiverSubBasinCode,StationTypeCode,StationNumber,Station,LatitudeDecimalDegrees,LongitudeDecimalDegrees,SampleMatrixCode,SampleTypeCode,CollectionCode,QCSampleFlag,SampleComment,SampleDatetime,97251 DEPTH OF SAMPLING FROM SURFACE m,1593 ALKALINITY PHENOLPHTHALEIN CACO3 mg/L,1592 ALKALINITY TOTAL CACO3 mg/L,103927 ALUMINUM DISSOLVED ug/L,103999 ALUMINUM TOTAL RECOVERABLE ug/L,2006 AMMONIA DISSOLVED mg/L,2007 AMMONIA TOTAL mg/L,103951 ANTIMONY DISSOLVED ug/L,80043 ANTIMONY TOTAL RECOVERABLE ug/L,103928 ARSENIC DISSOLVED ug/L,80020 ARSENIC TOTAL RECOVERABLE ug/L,103930 BARIUM DISSOLVED ug/L,80022 BARIUM TOTAL RECOVERABLE ug/L,103931 BERYLLIUM DISSOLVED ug/L,80023 BERYLLIUM TOTAL RECOVERABLE ug/L,1594 BICARBONATE (CALCD.) mg/L,103932 BISMUTH DISSOLVED ug/L,80024 BISMUTH TOTAL RECOVERABLE ug/L,103929 BORON DISSOLVED ug/L,80021 BORON TOTAL RECOVERABLE ug/L,103934 CADMIUM DISSOLVED ug/L,80026 CADMIUM TOTAL RECOVERABLE ug/L,103933 CALCIUM DISSOLVED mg/L,20111 CALCIUM DISSOLVED/FILTERED mg/L,80025 CALCIUM TOTAL RECOVERABLE mg/L,104311 CARBON DISSOLVED INORGANIC (DIC) mg/L,6154 CARBON DISSOLVED INORGANIC (DIC) mg/L,6107 CARBON DISSOLVED ORGANIC mg/L,22214 CARBON TOTAL ORGANIC (TOC) mg/L,1595 CARBONATE (CALCD.) mg/L,2003 CHLORIDE DISSOLVED mg/L,99212 CHLOROPHYLL A mg/m3,103937 CHROMIUM DISSOLVED ug/L,80029 CHROMIUM TOTAL RECOVERABLE ug/L,97320 CLOUD COVER %,103936 COBALT DISSOLVED ug/L,80028 COBALT TOTAL RECOVERABLE ug/L,106257 COLOUR (VISUAL) AT SITE N/A,103938 COPPER DISSOLVED ug/L,80030 COPPER TOTAL RECOVERABLE ug/L,107206 EUPHOTIC DEPTH m,106258 FOAM (VISUAL) AT SITE N/A,10602 HARDNESS TOTAL CACO3 (CALCD.) mg/L,5155 HYDROGEN-2 (DEUTERIUM) IN WATER o/oo VSMOW,1596 HYDROXIDE (CALCD.) mg/L,"106266 ICE THICKNESS, ESTIMATE m",60209 IONIC BALANCE DIFFERENCE ABSOLUTE VALUE (CALCD.) %,102090 IRON DISSOLVED mg/L,103939 IRON DISSOLVED ug/L,80031 IRON TOTAL RECOVERABLE ug/L,103949 LEAD DISSOLVED ug/L,80041 LEAD TOTAL RECOVERABLE ug/L,103942 LITHIUM DISSOLVED ug/L,80034 LITHIUM TOTAL RECOVERABLE ug/L,12111 MAGNESIUM DISSOLVED/FILTERED mg/L,102089 MANGANESE DISSOLVED mg/L,103944 MANGANESE DISSOLVED ug/L,80036 MANGANESE TOTAL RECOVERABLE ug/L,109749 MERCURY DISSOLVED ng/L,109748 MERCURY TOTAL ng/L,107108 MICROCYSTIN TOTAL ug/L,103945 MOLYBDENUM DISSOLVED ug/L,80037 MOLYBDENUM TOTAL RECOVERABLE ug/L,103947 NICKEL DISSOLVED ug/L,80039 NICKEL TOTAL RECOVERABLE ug/L,2008 NITROGEN DISSOLVED KJELDAHL (DKN) mg/L,102647 NITROGEN NITRATE mg/L,102648 NITROGEN NITRITE mg/L,102649 NITROGEN NO3 & NO2 mg/L,7602 NITROGEN TOTAL (CALCD.) mg/L,2009 NITROGEN TOTAL KJELDAHL (TKN) mg/L,106260 ODOUR APPARENT IN SAMPLE N/A,80558 OXYGEN DISSOLVED (FIELD METER) mg/L,5154 OXYGEN-18 IN WATER o/oo VSMOW,100923 PH (FIELD) pH units,10301 PH (LAB) pH units,2014 PHOSPHATE DISSOLVED ORTHO mg/L,2013 PHOSPHORUS TOTAL (P) mg/L,2010 PHOSPHORUS TOTAL DISSOLVED mg/L,101163 PHOTOSYNTHETICALLY ACTIVE RADIATION umol/s/m2,19111 POTASSIUM DISSOLVED/FILTERED mg/L,900038 REASON FOR MISSING SAMPLE N/A,2031 REDOX POTENTIAL mV,2005 RESIDUE NONFILTERABLE mg/L,48429 RHENIUM DISSOLVED ug/L,48411 RHENIUM TOTAL RECOVERABLE ug/L,2078 SECCHI DISK TRANSPARENCY m,103952 SELENIUM DISSOLVED ug/L,80044 SELENIUM TOTAL RECOVERABLE ug/L,14106 SILICA REACTIVE mg/L,103953 SILICON DISSOLVED mg/L,80045 SILICON TOTAL RECOVERABLE mg/L,103926 SILVER DISSOLVED ug/L,103998 SILVER TOTAL RECOVERABLE ug/L,"106267 SNOW DEPTH ON ICE, ESTIMATE m",11111 SODIUM DISSOLVED/FILTERED mg/L,100924 SPECIFIC CONDUCTANCE (FIELD) uS/cm,2041 SPECIFIC CONDUCTANCE (LAB) uS/cm,103955 STRONTIUM DISSOLVED ug/L,80047 STRONTIUM TOTAL RECOVERABLE ug/L,1599 SULPHATE DISSOLVED mg/L,125 SUM OF ANIONS meq/L,120 SUM OF CATIONS meq/L,97060 TEMPERATURE AIR deg C,100925 TEMPERATURE WATER deg C,103958 THALLIUM DISSOLVED ug/L,80053 THALLIUM TOTAL RECOVERABLE ug/L,103956 THORIUM DISSOLVED ug/L,80048 THORIUM TOTAL RECOVERABLE ug/L,103954 TIN DISSOLVED ug/L,80046 TIN TOTAL RECOVERABLE ug/L,103957 TITANIUM DISSOLVED ug/L,80049 TITANIUM TOTAL RECOVERABLE ug/L,201 TOTAL DISSOLVED SOLIDS (CALCD.) mg/L,97001 TOTAL WATER DEPTH m,106259 TURBIDITY (VISUAL) AT SITE N/A,103959 URANIUM DISSOLVED ug/L,80054 URANIUM TOTAL RECOVERABLE ug/L,103960 VANADIUM DISSOLVED ug/L,80055 VANADIUM TOTAL RECOVERABLE ug/L,103961 ZINC DISSOLVED ug/L,80056 ZINC TOTAL RECOVERABLE ug/L
ABS142,21SWL84232,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,,08/17/2021 11:20:00,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.78,,8.21,,,,,0.92,,,296,,,,,,,,,,,,,,317,,,,,,,,12.41,,,,,,,,,,,,,,,,,
ABS142,21SWL84233,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,,08/17/2021 11:21:00,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS142,21SWL84234,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,,08/17/2021 11:22:00,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.99,,7.89,,,,,,,,305,,,,,,,,,,,,,,321,,,,,,,,9.72,,,,,,,,,,,,,,,,,
ABS142,21SWL84236,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,,08/17/2021 11:23:00,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.32,,7.73,,,,,,,,310,,,,,,,,,,,,,,328,,,,,,,,9.04,,,,,,,,,,,,,,,,,
ABS142,21SWL84238,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,,08/17/2021 11:25:00,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,7.62,,,,,,,,313,,,,,,,,,,,,,,335,,,,,,,,8.77,,,,,,,,,,,,,,,,,
ABS142,21SWL84240,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,,08/17/2021 11:27:00,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,7.54,,,,,,,,315,,,,,,,,,,,,,,339,,,,,,,,8.56,,,,,,,,,,,,,,,,,
ABS142,21SWL84242,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,,08/17/2021 11:29:00,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,,7.48,,,,,,,,317,,,,,,,,,,,,,,343,,,,,,,,8.45,,,,,,,,,,,,,,,,,
ABS142,21SWL84244,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,17,N,"bottom grab for routines, metals & Hgs",08/17/2021 12:15:00,20,L1,140,0.6,12.6,,0.35,L0.09,0.063,0.35,0.37,38.4,38.5,L0.004,L0.003,170,L0.003,L0.003,4.4,4.3,0.002,L0.01,,49,,30,,1.1,,L1,4.6,,L0.3,L0.1,,0.02,0.022,,0.1,0.11,,,160,,L1,,5.6,L0.06,4,17.2,L0.02,0.023,2.88,2.84,9.9,0.059,35.6,41.5,0.15,0.6,,0.47,0.499,0.64,0.62,,0.014,L0.003,0.014,0.61,0.6,,0.43,,7.41,7.31,,0.0075,L0.003,,3.1,,24,2.4,,,,1.2,1.3,6.1,2.38,2.44,L0.003,0.001,,1.5,353,330,183,188,41,3.8,3.4,,8.21,0.006,0.006,L0.002,L0.002,L0.06,L0.06,0.42,0.6,200,,,0.314,0.32,0.188,0.265,1.1,1.6
ABS142,21SWL85203,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,"Only profile taken, no WQ samples. Profile was hard to complete due to wind and rough water",10/04/2021 10:58:00,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1272.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS142,21SWL85204,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,,10/04/2021 11:00:00,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.86,,8.18,,,,,1063.1,,,237.6,,,,,,,,,,,,,,334,,,,,,,,9.5,,,,,,,,,,,,,,,,,
ABS142,21SWL85205,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,,10/04/2021 11:01:00,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS142,21SWL85206,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,,10/04/2021 11:02:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.91,,8.18,,,,,651,,,241.8,,,,,,,,,,,,,,332,,,,,,,,9.51,,,,,,,,,,,,,,,,,
ABS142,21SWL85207,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,,10/04/2021 11:03:00,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS142,21SWL85208,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,,10/04/2021 11:04:00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.92,,8.18,,,,,467.9,,,244.5,,,,,,,,,,,,,,331.9,,,,,,,,9.5,,,,,,,,,,,,,,,,,
ABS142,21SWL85209,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,,10/04/2021 11:05:00,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS142,21SWL85210,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,,10/04/2021 11:06:00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS142,21SWL85211,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,,10/04/2021 11:07:00,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS142,21SWL85212,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,,10/04/2021 11:08:00,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS142,21SWL85213,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,,10/04/2021 11:09:00,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS142,21SWL85214,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,,10/04/2021 11:10:00,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS142,21SWL85215,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,,10/04/2021 11:11:00,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS142,21SWL85216,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,,10/04/2021 11:12:00,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS142,21SWL85217,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,,10/04/2021 11:13:00,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS142,21SWL85218,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,,10/04/2021 11:14:00,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS142,21SWL85219,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,,10/04/2021 11:15:00,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS142,21SWL85220,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,,10/04/2021 11:16:00,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.86,,8.17,,,,,57.6,,,251,,,,,,,,,,,,,,332,,,,,,,,9.44,,,,,,,,,,,,,,,,,
ABS142,21SWL85224,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,,10/04/2021 11:17:00,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.78,,8.18,,,,,,,,252,,,,,,,,,,,,,,332,,,,,,,,9.42,,,,,,,,,,,,,,,,,
ABS142,21SWL85234,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,,10/04/2021 11:18:00,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.77,,8.17,,,,,,,,255.2,,,,,,,,,,,,,,332,,,,,,,,9.42,,,,,,,,,,,,,,,,,
ABS142,21SWL85244,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,,10/04/2021 11:19:00,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.77,,8.17,,,,,,,,258,,,,,,,,,,,,,,332,,,,,,,,9.42,,,,,,,,,,,,,,,,,
ABS142,21SWL85246,SAS,OLD,05AA,1,AB05AA1063,"CROWSNEST LAKE, EAST BASIN PROFILE",49.637400,-114.629530,0,1,122,N,,10/04/2021 11:20:00,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.72,,8.17,,,,,,,,260.7,,,,,,,,,,,,,,333,,,,,,,,9.41,,,,,,,,,,,,,,,,,
ABS142,21SWL81102,SAS,OLD,05AA,1,AB05AA1066,"CROWSNEST LAKE, WEST BASIN COMPOSITE",49.628860,-114.649580,0,31,133,N,Single-point Depth Integrated. No 10 point composite sample taken this month.,05/12/2021 10:30:00,,L1,130,,,,L0.015,,,,,,,,,160,,,,,,,,53,,28,,0.93,,L1,7.5,7,,,5,,,1,,,G9,1,180,,L1,,2.8,L0.06,,,,,,,12,L0.004,,,,,,,,,,,0.02,L0.003,0.02,0.17,0.15,0,,,,8.31,,0.0031,L0.003,,5.8,,,3.1,,,2.5,,,0.81,,,,,,1.5,,400,,,59,4,3.8,5,,,,,,,,,,220,26.2,2,,,,,,
ABS142,21SWL82102,SAS,OLD,05AA,1,AB05AA1066,"CROWSNEST LAKE, WEST BASIN COMPOSITE",49.628860,-114.649580,0,13,133,N,field readings only,06/15/2021 13:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,0,,,G10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,21,,,,,,,,,,,26.5,1,,,,,,
ABS142,21SWL83102,SAS,OLD,05AA,1,AB05AA1066,"CROWSNEST LAKE, WEST BASIN COMPOSITE",49.628860,-114.649580,0,13,133,N,field readings only. VERY Windy. Secchi disk measurement very difficult due to large wind and glare of sun on surface of water.,07/14/2021 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,2,,,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,26,,,,,,,,,,,25.7,1,,,,,,
ABS142,21SWL84102,SAS,OLD,05AA,1,AB05AA1066,"CROWSNEST LAKE, WEST BASIN COMPOSITE",49.628860,-114.649580,0,31,133,N,Single-point Depth Integrated,08/17/2021 10:15:00,,L1,130,,,,0.031,,,,,,,,,160,,,,,,,,47,,26,,1.1,,L1,2.8,4.1,,,100,,,1,,,14,0,160,,L1,,6.6,L0.06,,,,,,,9.4,L0.004,,,,,,,,,,,0.012,L0.003,0.012,0.29,0.28,0,,,,7.82,,0.0056,0.0034,,1.4,,,4.8,,,2.7,,,0.41,,,,,,1.3,,310,,,43,3.7,3.2,5,,,,,,,,,,190,26.2,1,,,,,,
ABS142,21SWL85102,SAS,OLD,05AA,1,AB05AA1066,"CROWSNEST LAKE, WEST BASIN COMPOSITE",49.628860,-114.649580,0,13,133,N,"field readings only. Wind picked up, difficult secchi disk reading from west basin due to waves.",10/04/2021 09:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,1,,,9.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,5,,,,,,,,,,,26.1,1,,,,,,
ABS142,21SWL81103,SAS,OLD,05AA,1,AB05AA1062,"CROWSNEST LAKE, WEST BASIN PROFILE",49.628860,-114.649580,0,1,122,N,"Didn’t get to 1% with the light meter, cable was not long enough, only 9m. ORP not recorded for this trip",05/12/2021 10:47:00,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1277.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS142,21SWL81104,SAS,OLD,05AA,1,AB05AA1062,"CROWSNEST LAKE, WEST BASIN PROFILE",49.628860,-114.649580,0,1,122,N,,05/12/2021 10:48:00,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,8.13,,,,,1215.4,,,,,,,,,,,,,,,,,383,,,,,,,,6.23,,,,,,,,,,,,,,,,,
ABS142,21SWL81105,SAS,OLD,05AA,1,AB05AA1062,"CROWSNEST LAKE, WEST BASIN PROFILE",49.628860,-114.649580,0,1,122,N,,05/12/2021 10:49:00,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.87,,8.09,,,,,952.4,,,,,,,,,,,,,,,,,373,,,,,,,,6.19,,,,,,,,,,,,,,,,,
ABS142,21SWL81106,SAS,OLD,05AA,1,AB05AA1062,"CROWSNEST LAKE, WEST BASIN PROFILE",49.628860,-114.649580,0,1,17,N,surface grab for metals & Hgs,05/12/2021 10:50:00,1,,,0.5,6,,,L0.09,0.051,0.17,0.18,39.2,39.1,L0.004,L0.003,,L0.003,L0.003,5.8,6,0.004,L0.01,,,,,,,,,,,L0.3,0.1,,0.012,0.016,,L0.08,L0.08,,,,,,,,,L2,9.9,L0.02,0.01,4.46,4.53,,,0.02,2.98,0.13,0.67,,0.595,0.589,0.52,0.56,,,,,,,,11.88,,8.07,,,,,796,,,,,,,,1.4,1.4,,0.62,0.69,L0.003,L0.001,,,383,,228,220,,,,,6.19,0.01,0.021,L0.002,L0.002,L0.06,L0.06,0.16,0.27,,,,0.371,0.39,0.245,0.314,0.4,1.3
ABS142,21SWL81107,SAS,OLD,05AA,1,AB05AA1062,"CROWSNEST LAKE, WEST BASIN PROFILE",49.628860,-114.649580,0,1,122,N,,05/12/2021 10:51:00,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.89,,8.05,,,,,639.1,,,,,,,,,,,,,,,,,384,,,,,,,,6.18,,,,,,,,,,,,,,,,,
ABS142,21SWL81108,SAS,OLD,05AA,1,AB05AA1062,"CROWSNEST LAKE, WEST BASIN PROFILE",49.628860,-114.649580,0,1,122,N,,05/12/2021 10:52:00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.89,,8.04,,,,,517,,,,,,,,,,,,,,,,,384,,,,,,,,6.17,,,,,,,,,,,,,,,,,
ABS142,21SWL81109,SAS,OLD,05AA,1,AB05AA1062,"CROWSNEST LAKE, WEST BASIN PROFILE",49.628860,-114.649580,0,1,122,N,,05/12/2021 10:53:00,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.89,,8.03,,,,,402.1,,,,,,,,,,,,,,,,,384,,,,,,,,6.16,,,,,,,,,,,,,,,,,
ABS142,21SWL81110,SAS,OLD,05AA,1,AB05AA1062,"CROWSNEST LAKE, WEST BASIN PROFILE",49.628860,-114.649580,0,1,122,N,,05/12/2021 10:54:00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.89,,8.02,,,,,298.3,,,,,,,,,,,,,,,,,384,,,,,,,,6.16,,,,,,,,,,,,,,,,,
ABS142,21SWL81111,SAS,OLD,05AA,1,AB05AA1062,"CROWSNEST LAKE, WEST BASIN PROFILE",49.628860,-114.649580,0,1,122,N,,05/12/2021 10:55:00,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.89,,8.02,,,,,257.1,,,,,,,,,,,,,,,,,384,,,,,,,,6.16,,,,,,,,,,,,,,,,,
