ProjectNumber,SampleNumber,ContinentalRiverBasinCode,RiverBasinCode,RiverSubBasinCode,StationTypeCode,StationNumber,Station,LatitudeDecimalDegrees,LongitudeDecimalDegrees,SampleMatrixCode,SampleTypeCode,CollectionCode,QCSampleFlag,SampleComment,SampleDatetime,97251 DEPTH OF SAMPLING FROM SURFACE m,1593 ALKALINITY PHENOLPHTHALEIN CACO3 mg/L,1592 ALKALINITY TOTAL CACO3 mg/L,103927 ALUMINUM DISSOLVED ug/L,103999 ALUMINUM TOTAL RECOVERABLE ug/L,2007 AMMONIA TOTAL mg/L,103951 ANTIMONY DISSOLVED ug/L,80043 ANTIMONY TOTAL RECOVERABLE ug/L,103928 ARSENIC DISSOLVED ug/L,80020 ARSENIC TOTAL RECOVERABLE ug/L,103930 BARIUM DISSOLVED ug/L,80022 BARIUM TOTAL RECOVERABLE ug/L,103931 BERYLLIUM DISSOLVED ug/L,80023 BERYLLIUM TOTAL RECOVERABLE ug/L,1594 BICARBONATE (CALCD.) mg/L,103932 BISMUTH DISSOLVED ug/L,80024 BISMUTH TOTAL RECOVERABLE ug/L,103929 BORON DISSOLVED ug/L,80021 BORON TOTAL RECOVERABLE ug/L,103934 CADMIUM DISSOLVED ug/L,80026 CADMIUM TOTAL RECOVERABLE ug/L,103933 CALCIUM DISSOLVED mg/L,20111 CALCIUM DISSOLVED/FILTERED mg/L,80025 CALCIUM TOTAL RECOVERABLE mg/L,104311 CARBON DISSOLVED INORGANIC (DIC) mg/L,6152 CARBON DISSOLVED INORGANIC (DIC) mg/L,6107 CARBON DISSOLVED ORGANIC mg/L,22214 CARBON TOTAL ORGANIC (TOC) mg/L,1595 CARBONATE (CALCD.) mg/L,2003 CHLORIDE DISSOLVED mg/L,103935 CHLORINE DISSOLVED mg/L,80027 CHLORINE TOTAL RECOVERABLE mg/L,99212 CHLOROPHYLL A mg/m3,103937 CHROMIUM DISSOLVED ug/L,80029 CHROMIUM TOTAL RECOVERABLE ug/L,97320 CLOUD COVER %,103936 COBALT DISSOLVED ug/L,80028 COBALT TOTAL RECOVERABLE ug/L,106257 COLOUR (VISUAL) AT SITE N/A,22213 COLOUR TRUE CU,103938 COPPER DISSOLVED ug/L,80030 COPPER TOTAL RECOVERABLE ug/L,107206 EUPHOTIC DEPTH m,9105 FLUORIDE DISSOLVED mg/L,106258 FOAM (VISUAL) AT SITE N/A,10602 HARDNESS TOTAL CACO3 (CALCD.) mg/L,5155 HYDROGEN-2 (DEUTERIUM) IN WATER o/oo VSMOW,1596 HYDROXIDE (CALCD.) mg/L,60209 IONIC BALANCE DIFFERENCE ABSOLUTE VALUE (CALCD.) %,102090 IRON DISSOLVED mg/L,103939 IRON DISSOLVED ug/L,80031 IRON TOTAL RECOVERABLE ug/L,103949 LEAD DISSOLVED ug/L,80041 LEAD TOTAL RECOVERABLE ug/L,103942 LITHIUM DISSOLVED ug/L,80034 LITHIUM TOTAL RECOVERABLE ug/L,12111 MAGNESIUM DISSOLVED/FILTERED mg/L,102089 MANGANESE DISSOLVED mg/L,103944 MANGANESE DISSOLVED ug/L,80036 MANGANESE TOTAL RECOVERABLE ug/L,109749 MERCURY DISSOLVED ng/L,109748 MERCURY TOTAL ng/L,107108 MICROCYSTIN TOTAL ug/L,103945 MOLYBDENUM DISSOLVED ug/L,80037 MOLYBDENUM TOTAL RECOVERABLE ug/L,103947 NICKEL DISSOLVED ug/L,80039 NICKEL TOTAL RECOVERABLE ug/L,2008 NITROGEN DISSOLVED KJELDAHL (DKN) mg/L,102647 NITROGEN NITRATE mg/L,102648 NITROGEN NITRITE mg/L,102649 NITROGEN NO3 & NO2 mg/L,7602 NITROGEN TOTAL (CALCD.) mg/L,2009 NITROGEN TOTAL KJELDAHL (TKN) mg/L,106260 ODOUR APPARENT IN SAMPLE N/A,80558 OXYGEN DISSOLVED (FIELD METER) mg/L,5154 OXYGEN-18 IN WATER o/oo VSMOW,100923 PH (FIELD) pH units,10301 PH (LAB) pH units,2014 PHOSPHATE DISSOLVED ORTHO mg/L,2013 PHOSPHORUS TOTAL (P) mg/L,2010 PHOSPHORUS TOTAL DISSOLVED mg/L,101163 PHOTOSYNTHETICALLY ACTIVE RADIATION umol/s/m2,19111 POTASSIUM DISSOLVED/FILTERED mg/L,900038 REASON FOR MISSING SAMPLE N/A,2031 REDOX POTENTIAL mV,2004 RESIDUE FILTERABLE mg/L,2005 RESIDUE NONFILTERABLE mg/L,2078 SECCHI DISK TRANSPARENCY m,103952 SELENIUM DISSOLVED ug/L,80044 SELENIUM TOTAL RECOVERABLE ug/L,14106 SILICA REACTIVE mg/L,103926 SILVER DISSOLVED ug/L,103998 SILVER TOTAL RECOVERABLE ug/L,11111 SODIUM DISSOLVED/FILTERED mg/L,100924 SPECIFIC CONDUCTANCE (FIELD) uS/cm,2041 SPECIFIC CONDUCTANCE (LAB) uS/cm,103955 STRONTIUM DISSOLVED ug/L,80047 STRONTIUM TOTAL RECOVERABLE ug/L,1599 SULPHATE DISSOLVED mg/L,125 SUM OF ANIONS meq/L,120 SUM OF CATIONS meq/L,97060 TEMPERATURE AIR deg C,100925 TEMPERATURE WATER deg C,103958 THALLIUM DISSOLVED ug/L,80053 THALLIUM TOTAL RECOVERABLE ug/L,103956 THORIUM DISSOLVED ug/L,80048 THORIUM TOTAL RECOVERABLE ug/L,103954 TIN DISSOLVED ug/L,80046 TIN TOTAL RECOVERABLE ug/L,103957 TITANIUM DISSOLVED ug/L,80049 TITANIUM TOTAL RECOVERABLE ug/L,201 TOTAL DISSOLVED SOLIDS (CALCD.) mg/L,97001 TOTAL WATER DEPTH m,2002 TURBIDITY NTU,106259 TURBIDITY (VISUAL) AT SITE N/A,103959 URANIUM DISSOLVED ug/L,80054 URANIUM TOTAL RECOVERABLE ug/L,103960 VANADIUM DISSOLVED ug/L,80055 VANADIUM TOTAL RECOVERABLE ug/L,103961 ZINC DISSOLVED ug/L,80056 ZINC TOTAL RECOVERABLE ug/L
ABS019,20SWE06520,MAC,ATH,07AC,1,AB07AC0030,"GREGG LAKE, PROFILE AT CENTRE",53.532710,-117.799020,0,1,122,N,,09/24/2020 09:08:00,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.42,,7.71,,,,,,,,391,,,,,,,,,,355,,,,,,,,11.35,,,,,,,,,,,,,,,,,,
ABS019,20SWE06521,MAC,ATH,07AC,1,AB07AC0030,"GREGG LAKE, PROFILE AT CENTRE",53.532710,-117.799020,0,1,122,N,,09/24/2020 09:09:00,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.36,,7.68,,,,,,,,393,,,,,,,,,,356,,,,,,,,11.31,,,,,,,,,,,,,,,,,,
ABS019,20SWE06522,MAC,ATH,07AC,1,AB07AC0030,"GREGG LAKE, PROFILE AT CENTRE",53.532710,-117.799020,0,1,122,N,,09/24/2020 09:10:00,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.34,,7.65,,,,,,,,393,,,,,,,,,,357,,,,,,,,11.21,,,,,,,,,,,,,,,,,,
ABS019,20SWE06523,MAC,ATH,07AC,1,AB07AC0030,"GREGG LAKE, PROFILE AT CENTRE",53.532710,-117.799020,0,1,122,N,,09/24/2020 09:11:00,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45,,7.67,,,,,,,,394,,,,,,,,,,358,,,,,,,,11.16,,,,,,,,,,,,,,,,,,
ABS019,20SWE06524,MAC,ATH,07AC,1,AB07AC0030,"GREGG LAKE, PROFILE AT CENTRE",53.532710,-117.799020,0,1,122,N,,09/24/2020 09:12:00,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.94,,7.58,,,,,,,,397,,,,,,,,,,359,,,,,,,,10.89,,,,,,,,,,,,,,,,,,
ABS019,20SWE06525,MAC,ATH,07AC,1,AB07AC0030,"GREGG LAKE, PROFILE AT CENTRE",53.532710,-117.799020,0,1,122,N,,09/24/2020 09:13:00,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33,,7.2,,,,,,,,408,,,,,,,,,,367,,,,,,,,9.62,,,,,,,,,,,,,,,,,,
ABS019,20SWE06526,MAC,ATH,07AC,1,AB07AC0030,"GREGG LAKE, PROFILE AT CENTRE",53.532710,-117.799020,0,1,122,N,,09/24/2020 09:14:00,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,,6.89,,,,,,,,417,,,,,,,,,,378,,,,,,,,7.34,,,,,,,,,,,,,,,,,,
ABS019,20SWE06527,MAC,ATH,07AC,1,AB07AC0030,"GREGG LAKE, PROFILE AT CENTRE",53.532710,-117.799020,0,1,122,N,,09/24/2020 09:15:00,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,6.83,,,,,,,,420,,,,,,,,,,380,,,,,,,,6.81,,,,,,,,,,,,,,,,,,
ABS019,20SWE06528,MAC,ATH,07AC,1,AB07AC0030,"GREGG LAKE, PROFILE AT CENTRE",53.532710,-117.799020,0,1,122,N,,09/24/2020 09:16:00,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,6.8,,,,,,,,421,,,,,,,,,,380,,,,,,,,6.57,,,,,,,,,,,,,,,,,,
ABS019,20SWE06529,MAC,ATH,07AC,1,AB07AC0030,"GREGG LAKE, PROFILE AT CENTRE",53.532710,-117.799020,0,1,122,N,,09/24/2020 09:17:00,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,,6.78,,,,,,,,421,,,,,,,,,,381,,,,,,,,6.24,,,,,,,,,,,,,,,,,,
ABS019,20SWE06530,MAC,ATH,07AC,1,AB07AC0030,"GREGG LAKE, PROFILE AT CENTRE",53.532710,-117.799020,0,1,122,N,,09/24/2020 09:18:00,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,,6.76,,,,,,,,419,,,,,,,,,,382,,,,,,,,5.96,,,,,,,,,,,,,,,,,,
ABS019,20SWE06531,MAC,ATH,07AC,1,AB07AC0030,"GREGG LAKE, PROFILE AT CENTRE",53.532710,-117.799020,0,1,122,N,,09/24/2020 09:19:00,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58,,6.75,,,,,,,,416,,,,,,,,,,383,,,,,,,,5.88,,,,,,,,,,,,,,,,,,
ABS019,20SWE06532,MAC,ATH,07AC,1,AB07AC0030,"GREGG LAKE, PROFILE AT CENTRE",53.532710,-117.799020,0,1,122,N,,09/24/2020 09:20:00,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,6.74,,,,,,,,352,,,,,,,,,,384,,,,,,,,5.83,,,,,,,,,,,,,,,,,,
ABS019,20SWE06533,MAC,ATH,07AC,1,AB07AC0030,"GREGG LAKE, PROFILE AT CENTRE",53.532710,-117.799020,0,1,122,N,,09/24/2020 09:21:00,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,,6.73,,,,,,,,306,,,,,,,,,,383,,,,,,,,5.76,,,,,,,,,,,,,,,,,,
ABS019,20SWE06534,MAC,ATH,07AC,1,AB07AC0030,"GREGG LAKE, PROFILE AT CENTRE",53.532710,-117.799020,0,1,122,N,,09/24/2020 09:22:00,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,6.73,,,,,,,,254,,,,,,,,,,384,,,,,,,,5.72,,,,,,,,,,,,,,,,,,
ABS019,20SWE06535,MAC,ATH,07AC,1,AB07AC0030,"GREGG LAKE, PROFILE AT CENTRE",53.532710,-117.799020,0,1,122,N,,09/24/2020 09:23:00,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,6.72,,,,,,,,223,,,,,,,,,,386,,,,,,,,5.64,,,,,,,,,,,,,,,,,,
ABS019,20SWE06536,MAC,ATH,07AC,1,AB07AC0030,"GREGG LAKE, PROFILE AT CENTRE",53.532710,-117.799020,0,1,122,N,,09/24/2020 09:24:00,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,,6.72,,,,,,,,210,,,,,,,,,,386,,,,,,,,5.63,,,,,,,,,,,,,,,,,,
ABS019,20SWE06537,MAC,ATH,07AC,1,AB07AC0030,"GREGG LAKE, PROFILE AT CENTRE",53.532710,-117.799020,0,1,122,N,,09/24/2020 09:25:00,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,6.73,,,,,,,,199,,,,,,,,,,387,,,,,,,,5.59,,,,,,,,,,,,,,,,,,
ABS020,20SWE05303,SAS,NSA,05EB,1,AB05EB1040,"HALF MOON LAKE, COMPOSITE",53.460830,-113.090800,0,13,133,N,"GPS: 53.46068 -113.09022. Wind: 13 km/hr NW. Waves: 0.15m. Water levels are highest in 25 years, low minnows, more fresh shrimp, more leeches, darker lake, less sticklebacks(Richard). First conductivity reading is off because probe was out of water. Ice off - April 30th, Mid april smell observed (Rotting). Microcystin ID: M200158 Probe #: 49593 TOW NET(8"")",06/04/2020 09:40:00,,L1,200,,,0.051,,,,,,,,,240,,,,,,,,28,,,,18,,L1,27,,,17.6,,,65,,,3,,,,1.8,,,140,,L1,1.8,L0.06,,,,,,,16,L0.004,,,,,L0.1,,,,,,L0.003,L0.003,L0.0042,2,2,0,,,,8.14,,0.061,0.0062,,17,,,,6.3,0.9,,,0.12,,,39,,440,,,2.7,4.7,4.9,10,,,,,,,,,,250,8.6,,2,,,,,,
ABS020,20SWE05615,SAS,NSA,05EB,1,AB05EB1040,"HALF MOON LAKE, COMPOSITE",53.460830,-113.090800,0,13,133,N,"GPS: 53.46077 -113.09018. Wind: 4 km/hr SW. Waves: 0. Very calm. Lots of birds. Recent Rains. improved sechi reading. Microcystin ID:M200157. Probe #: 49593 TOW NET(8"")",07/06/2020 09:25:00,,5.6,170,,,0.1,,,,,,,,,200,,,,,,,,28,,,,19,,6.8,27,,,13.7,,,15,,,2,,,,3.94,,,140,,L1,6,L0.06,,,,,,,16,0.0071,,,,,0.22,,,,,,0.0048,L0.003,0.0048,1.8,1.8,0,,,,8.56,,0.04,0.026,,17,,,,3.3,1.97,,,0.77,,,39,,440,,,3.5,4.3,4.8,18,,,,,,,,,,230,8.59,,2,,,,,,
ABS020,20SWE05949,SAS,NSA,05EB,1,AB05EB1040,"HALF MOON LAKE, COMPOSITE",53.460830,-113.090800,0,13,133,N,"GPS: 53.46077 -113.09018. Wind: 8 km/hr W. Waves: 0.25m. Recent rains. Water leves are remaining high. Spotted minnows, water boatmen, and other invertebrates. Microcystin ID: M200156 Probe #: 49593 TOW NET(8""). TP Sample re-run by lab due to disagreement with QC. TP value determined to be correct.",08/04/2020 09:25:00,,6.8,180,,,0.028,,,,,,,,,200,,,,,,,,28,,,,20,,8.1,27,,,19.3,,,0,,,1,,,,2.5,,,140,,L1,4.4,L0.06,,,,,,,16,L0.004,,,,,0.27,,,,,,L0.003,L0.003,L0.0042,2,2,0,,,,8.55,,0.093,0.015,,16,,,,3.9,1.25,,,0.53,,,37,,440,,,4.3,4.4,4.8,17,,,,,,,,,,240,8.67,,1,,,,,,
ABS020,20SWE06273,SAS,NSA,05EB,1,AB05EB1040,"HALF MOON LAKE, COMPOSITE",53.460830,-113.090800,0,13,133,N,"GPS: 53.46077 -113.09018. Wind: 6 km/h SW. Waves: 0.1m. Water back down to spring levels. Some blue-green algae particles. Not many zooplankton in our 7.5m haul. Very well mixed, lots of wind. Microcystin ID: M200155 Probe #: 49593 TOW NET(8"").",09/03/2020 08:57:00,,L1,180,,,0.25,,,,,,,,,220,,,,,,,,32,,,,19,,L1,27,,,58.6,,,80,,,1,,,,1.9,,,150,,L1,8,L0.06,,,,,,,17,L0.004,,,,,0.57,,,,,,0.0077,0.0031,0.011,2.4,2.4,0,,,,8.26,,0.11,0.051,,18,,,,6.7,0.95,,,0.43,,,41,,450,,,2.5,4.5,5.2,14,,,,,,,,,,250,8.62,,1,,,,,,
ABS020,20SWE05304,SAS,NSA,05EB,1,AB05EB1030,"HALF MOON LAKE, PROFILE AT CENTRE",53.460830,-113.090800,0,1,122,N,,06/04/2020 09:20:00,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.83,,7.98,,,,,,,,581,,,,,,,,,,,,,,,,,,14.25,,,,,,,,,,,,,,,,,,
ABS020,20SWE05305,SAS,NSA,05EB,1,AB05EB1030,"HALF MOON LAKE, PROFILE AT CENTRE",53.460830,-113.090800,0,1,122,N,,06/04/2020 09:21:00,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.62,,8.12,,,,,,,,456,,,,,,,,,,444,,,,,,,,15,,,,,,,,,,,,,,,,,,
ABS020,20SWE05306,SAS,NSA,05EB,1,AB05EB1030,"HALF MOON LAKE, PROFILE AT CENTRE",53.460830,-113.090800,0,1,122,N,,06/04/2020 09:22:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.63,,8.12,,,,,,,,452,,,,,,,,,,443,,,,,,,,14.99,,,,,,,,,,,,,,,,,,
ABS020,20SWE05307,SAS,NSA,05EB,1,AB05EB1030,"HALF MOON LAKE, PROFILE AT CENTRE",53.460830,-113.090800,0,1,122,N,,06/04/2020 09:23:00,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.65,,8.13,,,,,,,,449,,,,,,,,,,444,,,,,,,,14.98,,,,,,,,,,,,,,,,,,
ABS020,20SWE05308,SAS,NSA,05EB,1,AB05EB1030,"HALF MOON LAKE, PROFILE AT CENTRE",53.460830,-113.090800,0,1,122,N,,06/04/2020 09:24:00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.59,,8.13,,,,,,,,446,,,,,,,,,,444,,,,,,,,14.95,,,,,,,,,,,,,,,,,,
ABS020,20SWE05309,SAS,NSA,05EB,1,AB05EB1030,"HALF MOON LAKE, PROFILE AT CENTRE",53.460830,-113.090800,0,1,122,N,,06/04/2020 09:25:00,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.52,,8.12,,,,,,,,444,,,,,,,,,,444,,,,,,,,14.91,,,,,,,,,,,,,,,,,,
ABS020,20SWE05310,SAS,NSA,05EB,1,AB05EB1030,"HALF MOON LAKE, PROFILE AT CENTRE",53.460830,-113.090800,0,1,122,N,,06/04/2020 09:26:00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.49,,8.12,,,,,,,,443,,,,,,,,,,444,,,,,,,,14.91,,,,,,,,,,,,,,,,,,
ABS020,20SWE05311,SAS,NSA,05EB,1,AB05EB1030,"HALF MOON LAKE, PROFILE AT CENTRE",53.460830,-113.090800,0,1,122,N,,06/04/2020 09:27:00,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.45,,8.12,,,,,,,,441,,,,,,,,,,444,,,,,,,,14.88,,,,,,,,,,,,,,,,,,
ABS020,20SWE05312,SAS,NSA,05EB,1,AB05EB1030,"HALF MOON LAKE, PROFILE AT CENTRE",53.460830,-113.090800,0,1,122,N,,06/04/2020 09:28:00,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.39,,8.12,,,,,,,,440,,,,,,,,,,444,,,,,,,,14.86,,,,,,,,,,,,,,,,,,
ABS020,20SWE05313,SAS,NSA,05EB,1,AB05EB1030,"HALF MOON LAKE, PROFILE AT CENTRE",53.460830,-113.090800,0,1,122,N,,06/04/2020 09:29:00,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.36,,8.11,,,,,,,,439,,,,,,,,,,443,,,,,,,,14.86,,,,,,,,,,,,,,,,,,
ABS020,20SWE05314,SAS,NSA,05EB,1,AB05EB1030,"HALF MOON LAKE, PROFILE AT CENTRE",53.460830,-113.090800,0,1,122,N,,06/04/2020 09:30:00,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,,8.11,,,,,,,,438,,,,,,,,,,443,,,,,,,,14.86,,,,,,,,,,,,,,,,,,
ABS020,20SWE05315,SAS,NSA,05EB,1,AB05EB1030,"HALF MOON LAKE, PROFILE AT CENTRE",53.460830,-113.090800,0,1,122,N,,06/04/2020 09:31:00,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.32,,8.11,,,,,,,,436,,,,,,,,,,443,,,,,,,,14.87,,,,,,,,,,,,,,,,,,
ABS020,20SWE05316,SAS,NSA,05EB,1,AB05EB1030,"HALF MOON LAKE, PROFILE AT CENTRE",53.460830,-113.090800,0,1,122,N,,06/04/2020 09:32:00,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.28,,8.11,,,,,,,,435,,,,,,,,,,443,,,,,,,,14.85,,,,,,,,,,,,,,,,,,
ABS020,20SWE05317,SAS,NSA,05EB,1,AB05EB1030,"HALF MOON LAKE, PROFILE AT CENTRE",53.460830,-113.090800,0,1,122,N,,06/04/2020 09:33:00,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.03,,8.08,,,,,,,,435,,,,,,,,,,444,,,,,,,,14.8,,,,,,,,,,,,,,,,,,
ABS020,20SWE05318,SAS,NSA,05EB,1,AB05EB1030,"HALF MOON LAKE, PROFILE AT CENTRE",53.460830,-113.090800,0,1,122,N,,06/04/2020 09:34:00,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.27,,7.97,,,,,,,,437,,,,,,,,,,445,,,,,,,,14.55,,,,,,,,,,,,,,,,,,
ABS020,20SWE05319,SAS,NSA,05EB,1,AB05EB1030,"HALF MOON LAKE, PROFILE AT CENTRE",53.460830,-113.090800,0,1,122,N,,06/04/2020 09:35:00,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25,,7.87,,,,,,,,438,,,,,,,,,,445,,,,,,,,14.43,,,,,,,,,,,,,,,,,,
ABS020,20SWE05320,SAS,NSA,05EB,1,AB05EB1030,"HALF MOON LAKE, PROFILE AT CENTRE",53.460830,-113.090800,0,1,122,N,,06/04/2020 09:36:00,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38,,7.55,,,,,,,,447,,,,,,,,,,448,,,,,,,,13.82,,,,,,,,,,,,,,,,,,
ABS020,20SWE05321,SAS,NSA,05EB,1,AB05EB1030,"HALF MOON LAKE, PROFILE AT CENTRE",53.460830,-113.090800,0,1,122,N,,06/04/2020 09:37:00,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,7.12,,,,,,,,257,,,,,,,,,,455,,,,,,,,13.33,,,,,,,,,,,,,,,,,,
ABS020,20SWE05616,SAS,NSA,05EB,1,AB05EB1030,"HALF MOON LAKE, PROFILE AT CENTRE",53.460830,-113.090800,0,1,122,N,,07/06/2020 08:48:00,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.26,,8.64,,,,,,,,318,,,,,,,,,,440,,,,,,,,20.18,,,,,,,,,,,,,,,,,,
ABS020,20SWE05617,SAS,NSA,05EB,1,AB05EB1030,"HALF MOON LAKE, PROFILE AT CENTRE",53.460830,-113.090800,0,1,122,N,,07/06/2020 08:49:00,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.32,,8.63,,,,,,,,317,,,,,,,,,,440,,,,,,,,19.87,,,,,,,,,,,,,,,,,,
ABS020,20SWE05618,SAS,NSA,05EB,1,AB05EB1030,"HALF MOON LAKE, PROFILE AT CENTRE",53.460830,-113.090800,0,1,122,N,,07/06/2020 08:50:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.22,,8.63,,,,,,,,316,,,,,,,,,,440,,,,,,,,19.64,,,,,,,,,,,,,,,,,,
ABS020,20SWE05619,SAS,NSA,05EB,1,AB05EB1030,"HALF MOON LAKE, PROFILE AT CENTRE",53.460830,-113.090800,0,1,122,N,,07/06/2020 08:51:00,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,8.62,,,,,,,,316,,,,,,,,,,441,,,,,,,,19.61,,,,,,,,,,,,,,,,,,
ABS020,20SWE05620,SAS,NSA,05EB,1,AB05EB1030,"HALF MOON LAKE, PROFILE AT CENTRE",53.460830,-113.090800,0,1,122,N,,07/06/2020 08:52:00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.92,,8.59,,,,,,,,316,,,,,,,,,,440,,,,,,,,19.55,,,,,,,,,,,,,,,,,,
